measure_name,location,location_name,sex_name,age_name,metric_name,year,val,lower,upper
Prevalence,44563,African Region,Male,<20 years,Number,2000,44636884.12917719,35826255.13933745,53481285.02097226
Prevalence,44563,African Region,Female,<20 years,Number,2000,43473586.44076097,34858196.81345544,52523168.86139684
Prevalence,44563,African Region,Both,<20 years,Number,2000,88110470.56993814,70503185.03724803,105392308.65769789
Prevalence,44563,African Region,Male,55+ years,Number,2000,9904735.902371973,8451970.502315097,11333291.765496206
Prevalence,44563,African Region,Female,55+ years,Number,2000,10211812.05693669,8805851.682442762,11689787.250830213
Prevalence,44563,African Region,Both,55+ years,Number,2000,20116547.95930863,17240990.90631869,23017481.114546794
Prevalence,44563,African Region,Male,20-54 years,Number,2000,52208445.69208376,44661625.77063537,58790778.97489103
Prevalence,44563,African Region,Female,20-54 years,Number,2000,51707468.95556035,43834581.51956798,58455660.27749063
Prevalence,44563,African Region,Both,20-54 years,Number,2000,103915914.6476442,88703143.15301031,117114778.45455427
Prevalence,44564,Region of the Americas,Male,<20 years,Number,2000,22274920.396351103,17553962.224713665,27378136.044535115
Prevalence,44564,Region of the Americas,Female,<20 years,Number,2000,21131242.23940747,16777182.225059483,25744093.440230653
Prevalence,44564,Region of the Americas,Both,<20 years,Number,2000,43406162.63575852,34353721.243107505,53062467.62996234
Prevalence,44564,Region of the Americas,Male,55+ years,Number,2000,14699981.52332312,12218741.444071554,17823428.35532606
Prevalence,44564,Region of the Americas,Female,55+ years,Number,2000,15699942.77756157,13133654.299553644,18769205.1293064
Prevalence,44564,Region of the Americas,Both,55+ years,Number,2000,30399924.30088472,25235189.940891188,36681430.17530691
Prevalence,44564,Region of the Americas,Male,20-54 years,Number,2000,56229321.00668045,46306508.46908247,66924481.85447585
Prevalence,44564,Region of the Americas,Female,20-54 years,Number,2000,58754976.6647727,48973874.63671097,68675559.1935032
Prevalence,44564,Region of the Americas,Both,20-54 years,Number,2000,114984297.67145333,95381586.3330052,135298978.33963197
Prevalence,44566,European Region,Male,<20 years,Number,2000,14737227.638269128,11360444.789816553,18353724.716874875
Prevalence,44566,European Region,Female,<20 years,Number,2000,13080444.538188577,9989530.844837496,16265943.087517312
Prevalence,44566,European Region,Both,<20 years,Number,2000,27817672.176457707,21356950.48121173,34605622.04970725
Prevalence,44566,European Region,Male,55+ years,Number,2000,18399363.066554263,14914742.532858407,22242926.801506456
Prevalence,44566,European Region,Female,55+ years,Number,2000,23891284.324521314,19705310.45525572,28933349.80349349
Prevalence,44566,European Region,Both,55+ years,Number,2000,42290647.39107557,34566823.95619665,51167876.86330771
Prevalence,44566,European Region,Male,20-54 years,Number,2000,55327100.675123006,45961775.43066621,65090210.72833084
Prevalence,44566,European Region,Female,20-54 years,Number,2000,53364832.766121045,43977041.64148404,63402190.2739397
Prevalence,44566,European Region,Both,20-54 years,Number,2000,108691933.44124398,89998664.5285357,128714123.4364547
Prevalence,44567,Eastern Mediterranean Region,Male,<20 years,Number,2000,20686417.756117985,16742850.049520949,24952103.632458348
Prevalence,44567,Eastern Mediterranean Region,Female,<20 years,Number,2000,17954370.346433982,14236683.940111425,21817433.779350765
Prevalence,44567,Eastern Mediterranean Region,Both,<20 years,Number,2000,38640788.10255199,30819038.526206035,46624823.39320023
Prevalence,44567,Eastern Mediterranean Region,Male,55+ years,Number,2000,7081867.977852007,5982540.635555766,8216422.068702508
Prevalence,44567,Eastern Mediterranean Region,Female,55+ years,Number,2000,6375942.73030088,5421701.395595552,7418652.29637866
Prevalence,44567,Eastern Mediterranean Region,Both,55+ years,Number,2000,13457810.708152885,11399879.197224844,15641329.273501828
Prevalence,44567,Eastern Mediterranean Region,Male,20-54 years,Number,2000,36209924.44864243,31016774.07739559,40979183.45919032
Prevalence,44567,Eastern Mediterranean Region,Female,20-54 years,Number,2000,30811591.77331469,26133742.155771144,35163897.056613505
Prevalence,44567,Eastern Mediterranean Region,Both,20-54 years,Number,2000,67021516.221957095,56950048.35303776,75976525.04701394
Prevalence,44566,European Region,Male,<20 years,Number,2001,14195717.587135218,10920295.18773556,17710623.42907034
Prevalence,44566,European Region,Female,<20 years,Number,2001,12594941.338393215,9624465.730844732,15680299.6238039
Prevalence,44566,European Region,Both,<20 years,Number,2001,26790658.92552844,20542089.410496645,33381890.109362856
Prevalence,44566,European Region,Male,55+ years,Number,2001,17939339.253928013,14578997.347387556,21773239.398121443
Prevalence,44566,European Region,Female,55+ years,Number,2001,23254172.085691582,19204780.79401081,28156222.94357538
Prevalence,44566,European Region,Both,55+ years,Number,2001,41193511.33961957,33639884.98718826,49935243.47708507
Prevalence,44566,European Region,Male,20-54 years,Number,2001,54802143.69122332,45474227.73127523,64689246.92218983
Prevalence,44566,European Region,Female,20-54 years,Number,2001,52857490.88294295,43463197.97537078,62857833.028788224
Prevalence,44566,European Region,Both,20-54 years,Number,2001,107659634.57416624,88970102.53769839,127830737.32522678
Prevalence,44567,Eastern Mediterranean Region,Male,<20 years,Number,2001,20692474.09390516,16701631.6544919,24980861.51555597
Prevalence,44567,Eastern Mediterranean Region,Female,<20 years,Number,2001,18003319.688120842,14264006.98262829,21909401.29910432
Prevalence,44567,Eastern Mediterranean Region,Both,<20 years,Number,2001,38695793.78202598,30831494.99283752,46916498.16805524
