measure_name,location,location_name,sex_name,age_name,metric_name,year,val,lower,upper
Prevalence,17,Sri Lanka,Male,All ages,Number,2012,2559003.65552246,2204930.708620719,2923477.569522971
Prevalence,17,Sri Lanka,Female,All ages,Number,2012,3057284.143456447,2676449.303695064,3516012.824095418
Prevalence,6,China,Male,All ages,Number,2012,245054791.06175965,222471572.5958915,269034321.4948861
Prevalence,6,China,Female,All ages,Number,2012,221414229.5499349,199072511.09912243,246513803.6192629
Prevalence,6,China,Both,All ages,Number,2012,466469020.6116944,422109780.3492308,514961144.60647774
Prevalence,6,China,Male,All ages,Rate,2012,35404.34429761354,32141.62889241947,38868.79217831442
Prevalence,6,China,Female,All ages,Rate,2012,33423.419661229505,30050.84223812342,37212.307119558216
Prevalence,6,China,Both,All ages,Rate,2012,34435.60371361901,31160.9227568594,38015.38177246263
Prevalence,6,China,Male,Age-standardized,Rate,2012,31763.060594461906,28795.01828108484,34714.008392420095
Prevalence,6,China,Female,Age-standardized,Rate,2012,29683.357623944317,26778.40940967553,32720.269125977346
Prevalence,6,China,Both,Age-standardized,Rate,2012,30732.49104672844,27838.92480211827,33720.14728057511
Prevalence,6,China,Male,<20 years,Number,2012,28802730.49713094,22438681.13380619,35270063.733354405
Prevalence,6,China,Female,<20 years,Number,2012,24387576.20152063,19155401.17993425,30325415.25332633
Prevalence,6,China,Both,<20 years,Number,2012,53190306.69865156,41594082.31374043,65503491.897201605
Prevalence,6,China,Male,<20 years,Rate,2012,17367.81880450953,13530.34734616331,21267.56962175585
Prevalence,6,China,Female,<20 years,Rate,2012,16952.93005974342,13315.803661107711,21080.59610246391
Prevalence,6,China,Both,<20 years,Rate,2012,17175.10078579631,13430.69066848058,21151.01688602502
Prevalence,6,China,Male,55+ years,Number,2012,59041487.07528058,51196522.99881364,67555151.19481874
Prevalence,6,China,Female,55+ years,Number,2012,54708929.293658406,46677760.95571256,63956495.807827175
Prevalence,6,China,Both,55+ years,Number,2012,113750416.36893895,98080630.36576356,131550606.35319382
Prevalence,6,China,Male,55+ years,Rate,2012,42477.40416284132,36833.34392272288,48602.56072014817
Prevalence,6,China,Female,55+ years,Rate,2012,38407.44090120003,32769.30052284321,44899.53220984907
Prevalence,6,China,Both,55+ years,Rate,2012,40417.487498502,34849.74190156818,46742.20242373042
Prevalence,6,China,Male,20-54 years,Number,2012,157210573.48934802,135956307.1215816,176937057.5338223
Prevalence,6,China,Female,20-54 years,Number,2012,142317724.0547559,121863428.39113384,162578443.0684932
Prevalence,6,China,Both,20-54 years,Number,2012,299528297.5441038,257671528.1616419,339484747.6881331
Prevalence,6,China,Male,20-54 years,Rate,2012,40588.7452586699,35101.30262606837,45681.74389075386
Prevalence,6,China,Female,20-54 years,Rate,2012,37834.94768520777,32397.20469493083,43221.228621337046
Prevalence,6,China,Both,20-54 years,Rate,2012,39231.99352932303,33749.625021788874,44465.45963706018
Prevalence,46,Croatia,Male,All ages,Number,2012,328610.7824247825,281413.2502397029,373341.2282355024
Prevalence,46,Croatia,Female,All ages,Number,2012,323290.1201910541,279914.96533860045,366978.0008025819
Prevalence,46,Croatia,Both,All ages,Number,2012,651900.9026158364,567417.0263669876,739219.0049597655
Prevalence,46,Croatia,Male,All ages,Rate,2012,15615.29797488036,13372.512381203993,17740.84977427548
Prevalence,46,Croatia,Female,All ages,Rate,2012,14357.16256495311,12430.89228756675,16297.32084658354
Prevalence,46,Croatia,Both,All ages,Rate,2012,14964.951297361358,13025.55055653836,16969.41415929568
Prevalence,46,Croatia,Male,Age-standardized,Rate,2012,13858.82287588395,12030.86571196905,15821.84298921476
Prevalence,46,Croatia,Female,Age-standardized,Rate,2012,12799.869273710428,11210.95553061006,14676.56275631526
Prevalence,46,Croatia,Both,Age-standardized,Rate,2012,13323.95703787126,11650.93820780949,15193.52094143178
Prevalence,46,Croatia,Male,<20 years,Number,2012,37368.93308493442,28001.127896333943,47139.40279792936
Prevalence,46,Croatia,Female,<20 years,Number,2012,32538.50637276925,24395.826451665023,41194.36818692032
Prevalence,46,Croatia,Both,<20 years,Number,2012,69907.43945770363,52068.27409558319,87878.02072250811
Prevalence,46,Croatia,Male,<20 years,Rate,2012,8003.93050682291,5997.47071412302,10096.63570726539
Prevalence,46,Croatia,Female,<20 years,Rate,2012,7342.65250512684,5505.17206161213,9295.937782133193
Prevalence,46,Croatia,Both,<20 years,Rate,2012,7681.91640204221,5721.62464973264,9656.64904914277
Prevalence,46,Croatia,Male,55+ years,Number,2012,100286.48224076912,80594.41298565653,123858.74210534862
Prevalence,46,Croatia,Female,55+ years,Number,2012,115890.79229719185,93187.88049880671,142337.37383049296
Prevalence,46,Croatia,Both,55+ years,Number,2012,216177.2745379609,174891.84420103696,266973.3270253262
Prevalence,46,Croatia,Male,55+ years,Rate,2012,16816.76822591085,13514.65853821868,20769.53655366883
Prevalence,46,Croatia,Female,55+ years,Rate,2012,14804.81523336762,11904.56399017478,18183.31274290792
Prevalence,46,Croatia,Both,55+ years,Rate,2012,15674.79578276444,12681.23093781034,19357.96623170179
Prevalence,46,Croatia,Male,20-54 years,Number,2012,190955.36709907893,154858.3194749364,232336.2755444605
Prevalence,46,Croatia,Female,20-54 years,Number,2012,174860.8215210931,142118.15626069653,212221.0069787424
Prevalence,46,Croatia,Both,20-54 years,Number,2012,365816.18862017215,295555.1366203511,443202.2599553359
Prevalence,46,Croatia,Male,20-54 years,Rate,2012,18340.190515687093,14873.27182920102,22314.5943574326
Prevalence,46,Croatia,Female,20-54 years,Rate,2012,17045.7242613965,13853.914691037133,20687.65739499386
Prevalence,46,Croatia,Both,20-54 years,Rate,2012,17697.76427139992,14298.61580712981,21441.61293360739
Prevalence,38,Mongolia,Male,All ages,Number,2012,394237.08368546335,344927.5284258382,446464.2148624084
Prevalence,38,Mongolia,Female,All ages,Number,2012,380182.0011110846,331460.5174806339,433395.6069952439
Prevalence,38,Mongolia,Both,All ages,Number,2012,774419.0847965482,682905.5609120292,873505.7087811658
Prevalence,38,Mongolia,Male,All ages,Rate,2012,28148.423843632507,24627.73459742161,31877.427241188423
Prevalence,38,Mongolia,Female,All ages,Rate,2012,26701.00039637058,23279.1857130702,30438.306496219546
Prevalence,38,Mongolia,Both,All ages,Rate,2012,27418.745992456123,24178.65788573883,30926.96399433813
Prevalence,38,Mongolia,Male,Age-standardized,Rate,2012,28446.79641962729,25087.12989626571,31723.48662000387
Prevalence,38,Mongolia,Female,Age-standardized,Rate,2012,26598.43399310557,23472.86982344478,29895.28849867033
