measure_name,location,location_name,sex_name,age_name,metric_name,year,val,lower,upper
Prevalence,44563,African Region,Male,Age-standardized,Rate,2000,36089.0272599049,32603.66757652124,39189.68051147041
Prevalence,44563,African Region,Female,Age-standardized,Rate,2000,34786.38403139343,31375.81479468483,37942.77674135639
Prevalence,44563,African Region,Both,Age-standardized,Rate,2000,35421.04739862544,31975.78627370526,38563.90811585613
Prevalence,44563,African Region,Male,<20 years,Rate,2000,24042.35283333531,19296.76507581357,28806.130838642108
Prevalence,44563,African Region,Female,<20 years,Rate,2000,23704.88353157153,19007.16189379787,28639.35788378181
Prevalence,44563,African Region,Both,<20 years,Rate,2000,23874.653447398538,19103.73533150103,28557.38743588419
Prevalence,44563,African Region,Male,55+ years,Rate,2000,44055.85513887814,37594.014798404976,50410.01246159125
Prevalence,44563,African Region,Female,55+ years,Rate,2000,43213.47350165971,37263.85055043177,49467.842610817344
Prevalence,44563,African Region,Both,55+ years,Rate,2000,43624.17083628663,37388.32001422372,49915.05154826273
Prevalence,44563,African Region,Male,20-54 years,Rate,2000,41886.91166693023,35832.08710309786,47167.92720233527
Prevalence,44563,African Region,Female,20-54 years,Rate,2000,39616.63610813375,33584.67741876011,44786.88801543055
Prevalence,44563,African Region,Both,20-54 years,Rate,2000,40725.6236719192,34763.59553601613,45898.38245597831
Prevalence,44564,Region of the Americas,Male,Age-standardized,Rate,2000,22856.43853632792,20263.36747203434,25882.54169711744
Prevalence,44564,Region of the Americas,Female,Age-standardized,Rate,2000,22472.33702104988,19942.08261268732,25167.10535292056
Prevalence,44564,Region of the Americas,Both,Age-standardized,Rate,2000,22644.29353936287,20051.8041013985,25510.28417828736
Prevalence,44564,Region of the Americas,Male,<20 years,Rate,2000,14198.43693810033,11189.212855827793,17451.3188462277
Prevalence,44564,Region of the Americas,Female,<20 years,Rate,2000,13896.511777271462,11033.15686501288,16930.05520613322
Prevalence,44564,Region of the Americas,Both,<20 years,Rate,2000,14049.83029622876,11119.7102945927,17175.41058757253
Prevalence,44564,Region of the Americas,Male,55+ years,Rate,2000,26195.95013775758,21774.28190009669,31762.05628144672
Prevalence,44564,Region of the Americas,Female,55+ years,Rate,2000,23121.86124829575,19342.39740232527,27642.07251512204
