measure_name,location,location_name,sex_name,age_name,metric_name,year,val,lower,upper
Prevalence,7,Democratic People's Republic of Korea,Male,All ages,Number,2016,4823034.779455118,4311142.04521371,5295960.38150909
Prevalence,7,Democratic People's Republic of Korea,Female,All ages,Number,2016,4919689.681183515,4377035.327495374,5417452.084097968
Prevalence,7,Democratic People's Republic of Korea,Both,All ages,Number,2016,9742724.460638631,8738932.215086177,10683099.299136804
Prevalence,7,Democratic People's Republic of Korea,Male,All ages,Rate,2016,37985.905441453535,33954.27185633182,41710.63645044164
Prevalence,7,Democratic People's Republic of Korea,Female,All ages,Rate,2016,36922.74027113505,32850.0675912176,40658.49457894032
Prevalence,7,Democratic People's Republic of Korea,Both,All ages,Rate,2016,37441.50631794065,33583.91044159288,41055.38769158607
Prevalence,7,Democratic People's Republic of Korea,Male,Age-standardized,Rate,2016,35430.02466512743,31692.83277868108,38827.49461836234
Prevalence,7,Democratic People's Republic of Korea,Female,Age-standardized,Rate,2016,33942.76144813594,30212.80662685132,37570.96938061777
Prevalence,7,Democratic People's Republic of Korea,Both,Age-standardized,Rate,2016,34622.37575593662,30978.15698958694,37994.582230290216
Prevalence,7,Democratic People's Republic of Korea,Male,<20 years,Number,2016,734155.117432561,572491.2904758893,913187.202055184
Prevalence,7,Democratic People's Republic of Korea,Female,<20 years,Number,2016,697197.6095246827,540489.816960816,883463.2586304785
Prevalence,7,Democratic People's Republic of Korea,Both,<20 years,Number,2016,1431352.726957243,1117465.436616661,1804244.3834472145
Prevalence,7,Democratic People's Republic of Korea,Male,<20 years,Rate,2016,19794.64600118453,15435.78756675016,24621.79581436344
Prevalence,7,Democratic People's Republic of Korea,Female,<20 years,Rate,2016,19612.6821406438,15204.37654330761,24852.47200757007
Prevalence,7,Democratic People's Republic of Korea,Both,<20 years,Rate,2016,19705.59334285974,15384.2718527387,24839.234551869828
Prevalence,7,Democratic People's Republic of Korea,Male,55+ years,Number,2016,943575.9144013468,807201.2874590772,1073819.7309514033
Prevalence,7,Democratic People's Republic of Korea,Female,55+ years,Number,2016,1245328.1197047825,1066899.4549670797,1459344.425277378
Prevalence,7,Democratic People's Republic of Korea,Both,55+ years,Number,2016,2188904.0341061284,1887665.8985147087,2535654.047432297
Prevalence,7,Democratic People's Republic of Korea,Male,55+ years,Rate,2016,47632.05012937084,40747.81011460774,54206.80463959895
Prevalence,7,Democratic People's Republic of Korea,Female,55+ years,Rate,2016,43654.10178027487,37399.41037185734,51156.292920324966
Prevalence,7,Democratic People's Republic of Korea,Both,55+ years,Rate,2016,45284.36711078976,39052.30846073461,52457.98215031146
Prevalence,7,Democratic People's Republic of Korea,Male,20-54 years,Number,2016,3145303.7476212094,2713678.5574481795,3519285.503265013
Prevalence,7,Democratic People's Republic of Korea,Female,20-54 years,Number,2016,2977163.951954049,2522090.9195077787,3365217.727090519
Prevalence,7,Democratic People's Republic of Korea,Both,20-54 years,Number,2016,6122467.699575264,5254346.124507548,6861227.048515937
Prevalence,7,Democratic People's Republic of Korea,Male,20-54 years,Rate,2016,44887.50593698621,38727.66261466873,50224.70374800268
Prevalence,7,Democratic People's Republic of Korea,Female,20-54 years,Rate,2016,43042.92013704999,36463.61429154769,48653.28218685141
Prevalence,7,Democratic People's Republic of Korea,Both,20-54 years,Rate,2016,43971.19751889645,37736.40019193531,49276.9230604874
Prevalence,52,Romania,Male,All ages,Number,2016,1726914.8211729228,1485785.852985539,1972847.4552055928
Prevalence,52,Romania,Female,All ages,Number,2016,1673925.1975720176,1448914.8845398156,1918517.1682694403
Prevalence,52,Romania,Both,All ages,Number,2016,3400840.0187449395,2943528.384078097,3890156.146326421
Prevalence,52,Romania,Male,All ages,Rate,2016,17703.331471426838,15231.41681828545,20224.49052718407
Prevalence,52,Romania,Female,All ages,Rate,2016,16260.93588628105,14075.12837273398,18636.96461180527
Prevalence,52,Romania,Both,All ages,Rate,2016,16962.73021220355,14681.74850209705,19403.344123735893
Prevalence,52,Romania,Male,Age-standardized,Rate,2016,15681.11957558799,13496.159175964489,17935.99332002662
Prevalence,52,Romania,Female,Age-standardized,Rate,2016,14456.848798190438,12530.7946318491,16499.021231451217
Prevalence,52,Romania,Both,Age-standardized,Rate,2016,15066.13016900701,13105.13033418402,17138.87728041475
Prevalence,52,Romania,Male,<20 years,Number,2016,195862.07116162297,150234.6760759077,249423.2532180441
Prevalence,52,Romania,Female,<20 years,Number,2016,172470.6375016431,133117.68851188084,216963.925891405
Prevalence,52,Romania,Both,<20 years,Number,2016,368332.7086632661,284700.94279840693,465781.0260717244
Prevalence,52,Romania,Male,<20 years,Rate,2016,8839.252426528601,6780.08874907121,11256.467794731689
Prevalence,52,Romania,Female,<20 years,Rate,2016,8215.03106289276,6340.59201024965,10334.312069253368
Prevalence,52,Romania,Both,<20 years,Rate,2016,8535.55840781045,6597.517594442349,10793.77709276349
Prevalence,52,Romania,Male,55+ years,Number,2016,514756.0214775666,412335.5663555476,638112.0302237057
Prevalence,52,Romania,Female,55+ years,Number,2016,603420.2677827785,497932.7676177876,743897.6763852638
Prevalence,52,Romania,Both,55+ years,Number,2016,1118176.2892603448,905106.914393482,1374889.4303838273
Prevalence,52,Romania,Male,55+ years,Rate,2016,19108.500022933007,15306.50220767637,23687.65635642963
Prevalence,52,Romania,Female,55+ years,Rate,2016,17040.80728337467,14061.80200779505,21007.94026758623
Prevalence,52,Romania,Both,55+ years,Rate,2016,17934.17870436237,14516.80679083629,22051.54319588824
Prevalence,52,Romania,Male,20-54 years,Number,2016,1016296.7285337326,834174.0321058204,1239328.4115275797
Prevalence,52,Romania,Female,20-54 years,Number,2016,898034.2922875972,732700.1337173925,1108131.293568315
Prevalence,52,Romania,Both,20-54 years,Number,2016,1914331.0208213304,1570892.8103748,2341943.028288856
Prevalence,52,Romania,Male,20-54 years,Rate,2016,20975.91808392968,17216.98562430453,25579.19405762048
Prevalence,52,Romania,Female,20-54 years,Rate,2016,19297.34597233233,15744.57467353663,23812.00043072263
Prevalence,52,Romania,Both,20-54 years,Rate,2016,20153.54342440041,16537.92166800068,24655.323454896068
Prevalence,18,Thailand,Male,All ages,Number,2016,9215355.37486567,7987123.305238808,10640723.87259911
Prevalence,18,Thailand,Female,All ages,Number,2016,9427036.81427281,8212145.273926033,10817343.559782268
Prevalence,18,Thailand,Both,All ages,Number,2016,18642392.18913849,16253762.943967829,21436992.802819144
Prevalence,18,Thailand,Male,All ages,Rate,2016,28850.52523743727,25005.29747564665,33312.9282749442
Prevalence,18,Thailand,Female,All ages,Rate,2016,27679.68124342976,24112.514672994308,31761.9022323228
Prevalence,18,Thailand,Both,All ages,Rate,2016,28246.33511881108,24627.16320947894,32480.621397974868
Prevalence,18,Thailand,Male,Age-standardized,Rate,2016,25688.08998100148,22148.8291611988,29437.35856668463
Prevalence,18,Thailand,Female,Age-standardized,Rate,2016,24211.53381694896,20874.38192357503,27844.42768433228
Prevalence,18,Thailand,Both,Age-standardized,Rate,2016,24918.81177915313,21573.73873386176,28533.73503018669
Prevalence,18,Thailand,Male,<20 years,Number,2016,1041744.087622727,776136.4130595622,1325112.382053462
Prevalence,18,Thailand,Female,<20 years,Number,2016,989150.9939611356,743827.5879723966,1256623.8288469517
Prevalence,18,Thailand,Both,<20 years,Number,2016,2030895.0815838613,1522652.0649094947,2564831.135037886
Prevalence,18,Thailand,Male,<20 years,Rate,2016,13235.6328852002,9861.017455385609,16835.901666134072
Prevalence,18,Thailand,Female,<20 years,Rate,2016,13060.340402588368,9821.19166746492,16591.941031188988
Prevalence,18,Thailand,Both,<20 years,Rate,2016,13149.67240502982,9858.89227954943,16606.81022166152
Prevalence,18,Thailand,Male,55+ years,Number,2016,2478174.972095767,1986817.7113282296,3040095.539419364
Prevalence,18,Thailand,Female,55+ years,Number,2016,2765902.370569458,2246215.557633517,3391705.2664740854
Prevalence,18,Thailand,Both,55+ years,Number,2016,5244077.342665223,4274676.331269814,6389727.964141948
Prevalence,18,Thailand,Male,55+ years,Rate,2016,33497.55937281852,26855.86974187752,41093.05516253339
Prevalence,18,Thailand,Female,55+ years,Rate,2016,31794.094344381767,25820.28567498374,38987.70917514768
Prevalence,18,Thailand,Both,55+ years,Rate,2016,32576.97154098862,26554.91139647066,39693.91991017397
Prevalence,18,Thailand,Male,20-54 years,Number,2016,5695436.315147185,4703075.865004095,6892353.267123966
Prevalence,18,Thailand,Female,20-54 years,Number,2016,5671983.4497422185,4637434.002507879,6947789.927356195
Prevalence,18,Thailand,Both,20-54 years,Number,2016,11367419.76488941,9315683.161245912,13777939.53145816
Prevalence,18,Thailand,Male,20-54 years,Rate,2016,34159.85293531963,28207.914372586463,41338.672044679006
Prevalence,18,Thailand,Female,20-54 years,Rate,2016,31892.87541369965,26075.72927385042,39066.580591626895
Prevalence,18,Thailand,Both,20-54 years,Rate,2016,32989.7980039132,27035.37936614132,39985.45417112581
Prevalence,48,Hungary,Male,All ages,Number,2016,763710.1040134788,663820.1366181618,876668.4984431975
Prevalence,48,Hungary,Female,All ages,Number,2016,767153.1684912265,668884.0520081307,877471.4072841682
Prevalence,48,Hungary,Both,All ages,Number,2016,1530863.2725047057,1341338.730736325,1757471.1959275303
Prevalence,48,Hungary,Male,All ages,Rate,2016,16267.7088318111,14139.96311224228,18673.8237450938
Prevalence,48,Hungary,Female,All ages,Rate,2016,14883.72262516144,12977.179926223482,17024.03323603948
Prevalence,48,Hungary,Both,All ages,Rate,2016,15543.41893745582,13619.10642402315,17844.252690260502
Prevalence,48,Hungary,Male,Age-standardized,Rate,2016,14289.690639583569,12408.16371060208,16493.46600128782
Prevalence,48,Hungary,Female,Age-standardized,Rate,2016,13147.72896337446,11411.1105141418,15081.85963162194
Prevalence,48,Hungary,Both,Age-standardized,Rate,2016,13707.95472706545,11882.92753323444,15745.47901430256
Prevalence,48,Hungary,Male,<20 years,Number,2016,80415.30587126547,61100.01725603499,102875.39853097236
Prevalence,48,Hungary,Female,<20 years,Number,2016,71046.5882295785,53043.72216064811,90335.99257809896
Prevalence,48,Hungary,Both,<20 years,Number,2016,151461.89410084378,115579.50920623538,192518.68099959844
Prevalence,48,Hungary,Male,<20 years,Rate,2016,8102.55378510074,6156.3675064563495,10365.60690442799
Prevalence,48,Hungary,Female,<20 years,Rate,2016,7558.00732080663,5642.84437019742,9610.03350409099
Prevalence,48,Hungary,Both,<20 years,Rate,2016,7837.67054390074,5980.87142750955,9962.22848115544
Prevalence,48,Hungary,Male,55+ years,Number,2016,230647.8213004618,184090.93370640223,294685.5385894132
Prevalence,48,Hungary,Female,55+ years,Number,2016,288405.55619215284,233879.4326278092,356378.5580019485
Prevalence,48,Hungary,Both,55+ years,Number,2016,519053.3774926148,419706.89461999474,646811.4522699886
Prevalence,48,Hungary,Male,55+ years,Rate,2016,17575.12254672393,14027.53644664222,22454.72957106102
Prevalence,48,Hungary,Female,55+ years,Rate,2016,15393.4647322485,12483.16726379498,19021.48084927163
Prevalence,48,Hungary,Both,55+ years,Rate,2016,16292.1420827156,13173.83655853697,20302.23583558168
Prevalence,48,Hungary,Male,20-54 years,Number,2016,452646.9768417518,371561.40851854434,551192.0225595821
Prevalence,48,Hungary,Female,20-54 years,Number,2016,407701.024069495,332455.14601010457,495784.27198979474
Prevalence,48,Hungary,Both,20-54 years,Number,2016,860348.0009112471,708206.1341413195,1047460.2588564178
Prevalence,48,Hungary,Male,20-54 years,Rate,2016,18940.66416558462,15547.70100254472,23064.20571477772
Prevalence,48,Hungary,Female,20-54 years,Rate,2016,17417.65811864528,14203.03048343892,21180.719302406607
Prevalence,48,Hungary,Both,20-54 years,Rate,2016,18187.06212695794,14970.9058970076,22142.46419258703
Prevalence,80,France,Male,All ages,Number,2016,1936278.8898475128,1664445.923144348,2228228.5047178315
Prevalence,80,France,Female,All ages,Number,2016,1951849.528955923,1687923.9833324014,2268892.964281065
Prevalence,80,France,Both,All ages,Number,2016,3888128.418803434,3337500.7034915267,4490742.530142317
Prevalence,80,France,Male,All ages,Rate,2016,6012.8993902765,5168.75225407793,6919.51654674586
Prevalence,80,France,Female,All ages,Rate,2016,5705.22829524241,4933.77769498325,6631.941728426689
Prevalence,80,France,Both,All ages,Rate,2016,5854.40916757468,5025.3213399059605,6761.77363652345
Prevalence,80,France,Male,Age-standardized,Rate,2016,5431.995996693699,4606.90399633757,6242.6727810189095
Prevalence,80,France,Female,Age-standardized,Rate,2016,5144.49603197086,4380.482280317699,5956.60948077824
