joinpoint_model,aapc_index,start_obs,end_obs,aapc,aapc_c_i_low,aapc_c_i_high,statistically_significant_0_no_1_yes,test_statistic,p_value,p_value_label,legend,Year,Value,var,Measure
3,Full Range,1990,2023,-0.87,-0.95,-0.79,1,-20.563,0,***,"1990~2023
-0.87(-0.95~-0.79)***",1990~2023,-0.87 (-0.95~-0.79),Prevalence,Rate
3,1990.000-1999.000,1990,1999,-0.44,-0.56,-0.32,1,-7.227,0,***,"1990~1999
-0.44(-0.56~-0.32)***",1990~1999,-0.44 (-0.56~-0.32),Prevalence,Rate
3,1999.000-2019.000,1999,2019,-1.06,-1.18,-0.95,1,-17.598,0,***,"1999~2019
-1.06(-1.18~-0.95)***",1999~2019,-1.06 (-1.18~-0.95),Prevalence,Rate
3,2019.000-2023.000,2019,2023,-0.89,-0.92,-0.87,1,-77.183,0,***,"2019~2023
-0.89(-0.92~-0.87)***",2019~2023,-0.89 (-0.92~-0.87),Prevalence,Rate
3,1990.000-2019.000,1990,2019,-0.87,-0.96,-0.78,1,-18.096,0,***,"1990~2019
-0.87(-0.96~-0.78)***",1990~2019,-0.87 (-0.96~-0.78),Prevalence,Rate
3,1990.000-2023.000,1990,2023,-0.87,-0.95,-0.79,1,-20.563,0,***,"1990~2023
-0.87(-0.95~-0.79)***",1990~2023,-0.87 (-0.95~-0.79),Prevalence,Rate
3,Full Range,1990,2023,0.48,0.43,0.54,1,17.792,0,***,"1990~2023
0.48(0.43~0.54)***",1990~2023,0.48 (0.43~0.54),Prevalence,Number
3,1990.000-1999.000,1990,1999,1.09,1.01,1.18,1,26.853,0,***,"1990~1999
1.09(1.01~1.18)***",1990~1999,1.09 (1.01~1.18),Prevalence,Number
3,1999.000-2019.000,1999,2019,0.28,0.20,0.35,1,7.422,0,***,"1999~2019
0.28(0.20~0.35)***",1999~2019,0.28 (0.20~0.35),Prevalence,Number
3,2019.000-2023.000,2019,2023,0.15,0.05,0.25,1,3.118,0.005,**,"2019~2023
0.15(0.05~0.25)**",2019~2023,0.15 (0.05~0.25),Prevalence,Number
3,1990.000-2019.000,1990,2019,0.53,0.47,0.59,1,18.462,0,***,"1990~2019
0.53(0.47~0.59)***",1990~2019,0.53 (0.47~0.59),Prevalence,Number
3,1990.000-2023.000,1990,2023,0.48,0.43,0.54,1,17.792,0,***,"1990~2023
0.48(0.43~0.54)***",1990~2023,0.48 (0.43~0.54),Prevalence,Number
