index,joinpoint_model,aapc_index,start_obs,end_obs,aapc,aapc_c_i_low,aapc_c_i_high,statistically_significant_0_no_1_yes,test_statistic,p_value,p_value_label,legend,Year,Value,Label,Measure
20-54 years,3,Full Range,1990,2023,0.58,0.49,0.67,1,13.348,0,***,"1990~2023
0.58(0.49~0.67)***",1990~2023,0.58 (0.49~0.67),Prevalence,Number
20-54 years,3,1990.000-1999.000,1990,1999,1.74,1.64,1.83,1,38.835,0,***,"1990~1999
1.74(1.64~1.83)***",1990~1999,1.74 (1.64~1.83),Prevalence,Number
20-54 years,3,1999.000-2019.000,1999,2019,0.22,0.09,0.35,1,3.386,0.001,**,"1999~2019
0.22(0.09~0.35)**",1999~2019,0.22 (0.09~0.35),Prevalence,Number
20-54 years,3,2019.000-2023.000,2019,2023,-0.22,-0.30,-0.14,1,-5.77,0,***,"2019~2023
-0.22(-0.30~-0.14)***",2019~2023,-0.22 (-0.30~-0.14),Prevalence,Number
20-54 years,3,1990.000-2019.000,1990,2019,0.69,0.60,0.79,1,14.346,0,***,"1990~2019
0.69(0.60~0.79)***",1990~2019,0.69 (0.60~0.79),Prevalence,Number
20-54 years,3,1990.000-2023.000,1990,2023,0.58,0.49,0.67,1,13.348,0,***,"1990~2023
0.58(0.49~0.67)***",1990~2023,0.58 (0.49~0.67),Prevalence,Number
55+ years,3,Full Range,1990,2023,1.97,1.89,2.04,1,52.705,0,***,"1990~2023
1.97(1.89~2.04)***",1990~2023,1.97 (1.89~2.04),Prevalence,Number
55+ years,3,1990.000-1999.000,1990,1999,1.90,1.69,2.12,1,17.179,0,***,"1990~1999
1.90(1.69~2.12)***",1990~1999,1.90 (1.69~2.12),Prevalence,Number
55+ years,3,1999.000-2019.000,1999,2019,1.90,1.83,1.97,1,54.435,0,***,"1999~2019
1.90(1.83~1.97)***",1999~2019,1.90 (1.83~1.97),Prevalence,Number
55+ years,3,2019.000-2023.000,2019,2023,2.44,2.41,2.48,1,153.978,0,***,"2019~2023
2.44(2.41~2.48)***",2019~2023,2.44 (2.41~2.48),Prevalence,Number
55+ years,3,1990.000-2019.000,1990,2019,1.90,1.82,1.98,1,45.263,0,***,"1990~2019
1.90(1.82~1.98)***",1990~2019,1.90 (1.82~1.98),Prevalence,Number
55+ years,3,1990.000-2023.000,1990,2023,1.97,1.89,2.04,1,52.705,0,***,"1990~2023
1.97(1.89~2.04)***",1990~2023,1.97 (1.89~2.04),Prevalence,Number
<20 years,3,Full Range,1990,2023,-0.64,-0.68,-0.60,1,-30.251,0,***,"1990~2023
-0.64(-0.68~-0.60)***",1990~2023,-0.64 (-0.68~-0.60),Prevalence,Number
<20 years,3,1990.000-1999.000,1990,1999,-0.56,-0.65,-0.48,1,-13.188,0,***,"1990~1999
-0.56(-0.65~-0.48)***",1990~1999,-0.56 (-0.65~-0.48),Prevalence,Number
<20 years,3,1999.000-2019.000,1999,2019,-0.59,-0.63,-0.56,1,-31.554,0,***,"1999~2019
-0.59(-0.63~-0.56)***",1999~2019,-0.59 (-0.63~-0.56),Prevalence,Number
<20 years,3,2019.000-2023.000,2019,2023,-1.08,-1.30,-0.86,1,-10.156,0,***,"2019~2023
-1.08(-1.30~-0.86)***",2019~2023,-1.08 (-1.30~-0.86),Prevalence,Number
<20 years,3,1990.000-2019.000,1990,2019,-0.58,-0.62,-0.54,1,-30.348,0,***,"1990~2019
-0.58(-0.62~-0.54)***",1990~2019,-0.58 (-0.62~-0.54),Prevalence,Number
<20 years,3,1990.000-2023.000,1990,2023,-0.64,-0.68,-0.60,1,-30.251,0,***,"1990~2023
-0.64(-0.68~-0.60)***",1990~2023,-0.64 (-0.68~-0.60),Prevalence,Number
20-54 years,3,Full Range,1990,2023,-0.81,-0.84,-0.78,1,-51.274,0,***,"1990~2023
-0.81(-0.84~-0.78)***",1990~2023,-0.81 (-0.84~-0.78),Prevalence,Rate
20-54 years,3,1990.000-1999.000,1990,1999,-0.07,-0.10,-0.04,1,-4.256,0,***,"1990~1999
-0.07(-0.10~-0.04)***",1990~1999,-0.07 (-0.10~-0.04),Prevalence,Rate
20-54 years,3,1999.000-2019.000,1999,2019,-1.10,-1.15,-1.05,1,-45.468,0,***,"1999~2019
-1.10(-1.15~-1.05)***",1999~2019,-1.10 (-1.15~-1.05),Prevalence,Rate
