location_name,joinpoint_model,aapc_index,start_obs,end_obs,aapc,aapc_c_i_low,aapc_c_i_high,statistically_significant_0_no_1_yes,test_statistic,p_value,p_value_label,legend,Year,Value,max_joinpoints_setting,selected_joinpoints
Afghanistan,0,Full Range,2010,2023,-3.24,-3.51,-2.97,1,-25.915,0,***,"2010~2023
-3.24(-3.51~-2.97)***",2010~2023,-3.24 (-3.51~-2.97),0,0
Albania,0,Full Range,2010,2023,-2.4,-2.43,-2.37,1,-169.044,0,***,"2010~2023
-2.40(-2.43~-2.37)***",2010~2023,-2.40 (-2.43~-2.37),0,0
Algeria,0,Full Range,2010,2023,-2.73,-2.78,-2.69,1,-126.936,0,***,"2010~2023
-2.73(-2.78~-2.69)***",2010~2023,-2.73 (-2.78~-2.69),0,0
American Samoa,0,Full Range,2010,2023,-0.52,-0.59,-0.44,1,-14.924,0,***,"2010~2023
-0.52(-0.59~-0.44)***",2010~2023,-0.52 (-0.59~-0.44),0,0
Andorra,0,Full Range,2010,2023,-1.94,-1.97,-1.9,1,-132.432,0,***,"2010~2023
-1.94(-1.97~-1.90)***",2010~2023,-1.94 (-1.97~-1.90),0,0
Angola,0,Full Range,2010,2023,-2.45,-2.62,-2.29,1,-31.622,0,***,"2010~2023
-2.45(-2.62~-2.29)***",2010~2023,-2.45 (-2.62~-2.29),0,0
Antigua and Barbuda,0,Full Range,2010,2023,-2.25,-2.38,-2.12,1,-37.632,0,***,"2010~2023
-2.25(-2.38~-2.12)***",2010~2023,-2.25 (-2.38~-2.12),0,0
Argentina,0,Full Range,2010,2023,-1.97,-2,-1.95,1,-170.959,0,***,"2010~2023
-1.97(-2.00~-1.95)***",2010~2023,-1.97 (-2.00~-1.95),0,0
Armenia,0,Full Range,2010,2023,-2.57,-2.65,-2.5,1,-76.658,0,***,"2010~2023
-2.57(-2.65~-2.50)***",2010~2023,-2.57 (-2.65~-2.50),0,0
Australia,0,Full Range,2010,2023,-1.48,-1.52,-1.44,1,-87.043,0,***,"2010~2023
-1.48(-1.52~-1.44)***",2010~2023,-1.48 (-1.52~-1.44),0,0
Austria,0,Full Range,2010,2023,-2.12,-2.15,-2.1,1,-191.851,0,***,"2010~2023
-2.12(-2.15~-2.10)***",2010~2023,-2.12 (-2.15~-2.10),0,0
