location_name,joinpoint_model,aapc_index,start_obs,end_obs,aapc,aapc_c_i_low,aapc_c_i_high,statistically_significant_0_no_1_yes,test_statistic,p_value,p_value_label,legend,Year,Value,Label,Measure
African Region,3,Full Range,1990,2023,1.10,1.08,1.12,1,100.756,0,***,"1990~2023
1.10(1.08~1.12)***",1990~2023,1.10 (1.08~1.12),Prevalence,Number
African Region,3,1990.000-1999.000,1990,1999,1.95,1.92,1.98,1,140.339,0,***,"1990~1999
1.95(1.92~1.98)***",1990~1999,1.95 (1.92~1.98),Prevalence,Number
African Region,3,1999.000-2019.000,1999,2019,0.93,0.90,0.96,1,62.714,0,***,"1999~2019
0.93(0.90~0.96)***",1999~2019,0.93 (0.90~0.96),Prevalence,Number
African Region,3,2019.000-2023.000,2019,2023,0.05,-0.00,0.10,0,2.062,0.051,,"2019~2023
0.05(-0.00~0.10)",2019~2023,0.05 (-0.00~0.10),Prevalence,Number
African Region,3,1990.000-2019.000,1990,2019,1.25,1.22,1.27,1,110.238,0,***,"1990~2019
1.25(1.22~1.27)***",1990~2019,1.25 (1.22~1.27),Prevalence,Number
African Region,3,1990.000-2023.000,1990,2023,1.10,1.08,1.12,1,100.756,0,***,"1990~2023
1.10(1.08~1.12)***",1990~2023,1.10 (1.08~1.12),Prevalence,Number
Eastern Mediterranean Region,3,Full Range,1990,2023,0.62,0.60,0.64,1,67.738,0,***,"1990~2023
0.62(0.60~0.64)***",1990~2023,0.62 (0.60~0.64),Prevalence,Number
Eastern Mediterranean Region,3,1990.000-1999.000,1990,1999,1.21,1.20,1.23,1,199.45,0,***,"1990~1999
1.21(1.20~1.23)***",1990~1999,1.21 (1.20~1.23),Prevalence,Number
Eastern Mediterranean Region,3,1999.000-2019.000,1999,2019,0.54,0.51,0.56,1,38.804,0,***,"1999~2019
0.54(0.51~0.56)***",1999~2019,0.54 (0.51~0.56),Prevalence,Number
Eastern Mediterranean Region,3,2019.000-2023.000,2019,2023,-0.26,-0.29,-0.23,1,-18.627,0,***,"2019~2023
-0.26(-0.29~-0.23)***",2019~2023,-0.26 (-0.29~-0.23),Prevalence,Number
Eastern Mediterranean Region,3,1990.000-2019.000,1990,2019,0.74,0.73,0.76,1,75.227,0,***,"1990~2019
0.74(0.73~0.76)***",1990~2019,0.74 (0.73~0.76),Prevalence,Number
Eastern Mediterranean Region,3,1990.000-2023.000,1990,2023,0.62,0.60,0.64,1,67.738,0,***,"1990~2023
0.62(0.60~0.64)***",1990~2023,0.62 (0.60~0.64),Prevalence,Number
European Region,2,Full Range,1990,2023,-1.94,-1.97,-1.92,1,-164.709,0,***,"1990~2023
-1.94(-1.97~-1.92)***",1990~2023,-1.94 (-1.97~-1.92),Prevalence,Number
European Region,2,1990.000-1999.000,1990,1999,-1.36,-1.40,-1.32,1,-69.577,0,***,"1990~1999
-1.36(-1.40~-1.32)***",1990~1999,-1.36 (-1.40~-1.32),Prevalence,Number
European Region,2,1999.000-2019.000,1999,2019,-2.22,-2.24,-2.19,1,-162.511,0,***,"1999~2019
-2.22(-2.24~-2.19)***",1999~2019,-2.22 (-2.24~-2.19),Prevalence,Number
European Region,2,2019.000-2023.000,2019,2023,-1.88,-1.93,-1.84,1,-83.563,0,***,"2019~2023
-1.88(-1.93~-1.84)***",2019~2023,-1.88 (-1.93~-1.84),Prevalence,Number
European Region,2,1990.000-2019.000,1990,2019,-1.95,-1.98,-1.93,1,-163.994,0,***,"1990~2019
-1.95(-1.98~-1.93)***",1990~2019,-1.95 (-1.98~-1.93),Prevalence,Number
European Region,2,1990.000-2023.000,1990,2023,-1.94,-1.97,-1.92,1,-164.709,0,***,"1990~2023
-1.94(-1.97~-1.92)***",1990~2023,-1.94 (-1.97~-1.92),Prevalence,Number
High SDI,3,Full Range,1990,2023,-0.11,-0.17,-0.05,1,-3.517,0,***,"1990~2023
-0.11(-0.17~-0.05)***",1990~2023,-0.11 (-0.17~-0.05),Prevalence,Number
