model,parameter,mean,sd,2.5%,97.5%,n_eff,Rhat
Poisson,alpha,-1.3851209427340645,0.007631586232714991,-1.39287420068746,-1.3568302877237117,6.47774791915734,1.8875191331605785
Poisson,sigma_age,0.18442596926324345,0.07938134859791827,0.0642311813869118,0.2694655054484752,2.435069878417129,5.113272202115998
Poisson,sigma_period,0.0076318891641291514,0.004295709388042647,7.383970950474211e-8,0.014381293759857416,2.6931136788998473,2.1872806622557515
Poisson,sigma_cohort,0.012658010801159782,0.002954840120036479,0.008790801357096058,0.01958019603602075,34.39839238000606,1.0885550386869194
Negative binomial,alpha,-1.3844119170368245,0.007432901353704945,-1.3987127130924282,-1.370256581848042,5620.067908121349,0.999498780494641
Negative binomial,sigma_age,0.5427005498600658,0.40350894739020077,0.1718762094672066,1.6573871045750665,3308.431711160564,0.9997827237880565
Negative binomial,sigma_period,0.0068912632779616545,0.0035305778075792574,6.724770872665391e-4,0.014698482549964939,1623.3379200430054,1.0002423291921716
Negative binomial,sigma_cohort,0.010834741577610293,0.0034163407929336622,0.004518989287538905,0.018198385115294754,2160.8684919467705,1.0002470266238697
Negative binomial,omega,8.273780350869479e-5,2.6244621643317194e-5,4.424416633320262e-5,1.4716078438191892e-4,2848.4045518077983,1.0011626340438922
Negative binomial,phi,13266.648827706937,4065.76485237935,6795.288661733047,22601.850982377633,2987.6898027027,1.000821846108003
