location_name,joinpoint_model,aapc_index,start_obs,end_obs,aapc,aapc_c_i_low,aapc_c_i_high,statistically_significant_0_no_1_yes,test_statistic,p_value,p_value_label,legend,Year,Value,Label,Measure
Afghanistan,1,Full Range,2010,2023,-3.32,-3.44,-3.2,1,-51.355,0,***,"2010~2023
-3.32(-3.44~-3.20)***",2010~2023,-3.32 (-3.44~-3.20),Prevalence,Rate
Albania,0,Full Range,2010,2023,-2.4,-2.43,-2.37,1,-169.044,0,***,"2010~2023
-2.40(-2.43~-2.37)***",2010~2023,-2.40 (-2.43~-2.37),Prevalence,Rate
Algeria,2,Full Range,2010,2023,-2.69,-2.7,-2.68,1,-454.471,0,***,"2010~2023
-2.69(-2.70~-2.68)***",2010~2023,-2.69 (-2.70~-2.68),Prevalence,Rate
American Samoa,3,Full Range,2010,2023,-0.55,-0.56,-0.54,1,-131.676,0,***,"2010~2023
-0.55(-0.56~-0.54)***",2010~2023,-0.55 (-0.56~-0.54),Prevalence,Rate
Andorra,1,Full Range,2010,2023,-1.95,-1.99,-1.91,1,-104.745,0,***,"2010~2023
-1.95(-1.99~-1.91)***",2010~2023,-1.95 (-1.99~-1.91),Prevalence,Rate
Angola,1,Full Range,2010,2023,-2.53,-2.71,-2.35,1,-27.791,0,***,"2010~2023
-2.53(-2.71~-2.35)***",2010~2023,-2.53 (-2.71~-2.35),Prevalence,Rate
Antigua and Barbuda,1,Full Range,2010,2023,-2.21,-2.24,-2.18,1,-141.55,0,***,"2010~2023
-2.21(-2.24~-2.18)***",2010~2023,-2.21 (-2.24~-2.18),Prevalence,Rate
Argentina,1,Full Range,2010,2023,-1.96,-1.99,-1.94,1,-154.285,0,***,"2010~2023
-1.96(-1.99~-1.94)***",2010~2023,-1.96 (-1.99~-1.94),Prevalence,Rate
Armenia,1,Full Range,2010,2023,-2.56,-2.65,-2.46,1,-51.18,0,***,"2010~2023
-2.56(-2.65~-2.46)***",2010~2023,-2.56 (-2.65~-2.46),Prevalence,Rate
Australia,1,Full Range,2010,2023,-1.51,-1.55,-1.47,1,-76.132,0,***,"2010~2023
-1.51(-1.55~-1.47)***",2010~2023,-1.51 (-1.55~-1.47),Prevalence,Rate
Austria,1,Full Range,2010,2023,-2.11,-2.14,-2.08,1,-132.151,0,***,"2010~2023
-2.11(-2.14~-2.08)***",2010~2023,-2.11 (-2.14~-2.08),Prevalence,Rate
Azerbaijan,1,Full Range,2010,2023,-2.66,-2.74,-2.58,1,-64.941,0,***,"2010~2023
-2.66(-2.74~-2.58)***",2010~2023,-2.66 (-2.74~-2.58),Prevalence,Rate
Bahamas,2,Full Range,2010,2023,-2.01,-2.03,-1.99,1,-184.487,0,***,"2010~2023
-2.01(-2.03~-1.99)***",2010~2023,-2.01 (-2.03~-1.99),Prevalence,Rate
Bahrain,1,Full Range,2010,2023,-2.53,-2.64,-2.43,1,-47.127,0,***,"2010~2023
-2.53(-2.64~-2.43)***",2010~2023,-2.53 (-2.64~-2.43),Prevalence,Rate
Bangladesh,1,Full Range,2010,2023,-3.5,-3.55,-3.45,1,-129.416,0,***,"2010~2023
-3.50(-3.55~-3.45)***",2010~2023,-3.50 (-3.55~-3.45),Prevalence,Rate
Barbados,1,Full Range,2010,2023,-2.07,-2.11,-2.03,1,-94.478,0,***,"2010~2023
-2.07(-2.11~-2.03)***",2010~2023,-2.07 (-2.11~-2.03),Prevalence,Rate
Belarus,2,Full Range,2010,2023,-3.14,-3.3,-2.99,1,-38.463,0,***,"2010~2023
-3.14(-3.30~-2.99)***",2010~2023,-3.14 (-3.30~-2.99),Prevalence,Rate
Belgium,1,Full Range,2010,2023,-2.31,-2.35,-2.27,1,-117.798,0,***,"2010~2023
-2.31(-2.35~-2.27)***",2010~2023,-2.31 (-2.35~-2.27),Prevalence,Rate
Belize,1,Full Range,2010,2023,-2.17,-2.21,-2.13,1,-96.864,0,***,"2010~2023
-2.17(-2.21~-2.13)***",2010~2023,-2.17 (-2.21~-2.13),Prevalence,Rate
Benin,2,Full Range,2010,2023,-3.41,-3.47,-3.35,1,-109.811,0,***,"2010~2023
-3.41(-3.47~-3.35)***",2010~2023,-3.41 (-3.47~-3.35),Prevalence,Rate
Bermuda,1,Full Range,2010,2023,-2.33,-2.38,-2.28,1,-89.724,0,***,"2010~2023
-2.33(-2.38~-2.28)***",2010~2023,-2.33 (-2.38~-2.28),Prevalence,Rate
Bhutan,2,Full Range,2010,2023,-3.11,-3.16,-3.06,1,-123.564,0,***,"2010~2023
-3.11(-3.16~-3.06)***",2010~2023,-3.11 (-3.16~-3.06),Prevalence,Rate
Bolivia (Plurinational State of),2,Full Range,2010,2023,-2.73,-2.83,-2.63,1,-52.852,0,***,"2010~2023
-2.73(-2.83~-2.63)***",2010~2023,-2.73 (-2.83~-2.63),Prevalence,Rate
Bosnia and Herzegovina,1,Full Range,2010,2023,-2.31,-2.39,-2.23,1,-55.534,0,***,"2010~2023
-2.31(-2.39~-2.23)***",2010~2023,-2.31 (-2.39~-2.23),Prevalence,Rate
Botswana,1,Full Range,2010,2023,-3.06,-3.23,-2.89,1,-35.591,0,***,"2010~2023
-3.06(-3.23~-2.89)***",2010~2023,-3.06 (-3.23~-2.89),Prevalence,Rate
Brazil,3,Full Range,2010,2023,-2.03,-2.04,-2.02,1,-357.443,0,***,"2010~2023
-2.03(-2.04~-2.02)***",2010~2023,-2.03 (-2.04~-2.02),Prevalence,Rate
Brunei Darussalam,1,Full Range,2010,2023,-1.97,-1.99,-1.95,1,-201.76,0,***,"2010~2023
-1.97(-1.99~-1.95)***",2010~2023,-1.97 (-1.99~-1.95),Prevalence,Rate
Bulgaria,1,Full Range,2010,2023,-2.58,-2.65,-2.51,1,-69.942,0,***,"2010~2023
-2.58(-2.65~-2.51)***",2010~2023,-2.58 (-2.65~-2.51),Prevalence,Rate
